slug;kod;marka;urun_adi;FIYAT_BURAYA
fes-25a-motor-2-2kw;25A;FORM;FES 25A Motor 2.2KW YP02.20115;
fes-25apb-evaporatif-sog-cihazi-220-v;220V;FORM;FES 25APB EVAPORATİF SOĞ. CİHAZI (220 V.);
fes-25apb-evaporatif-sog-cihazi-kumandasiz;25APB;FORM;FES 25APB EVAPORATİF SOĞ. CİHAZI (KUMANDASIZ);
fes-25apb-evaporatif-sog-cihazi-yerli-motor;25APB;FORM;FES 25APB EVAPORATİF SOĞ. CİHAZI (YERLİ MOTOR);
fes-25apb-evaporatif-sog-cihazi-ithal-motor;25APB;FORM;FES 25APB EVAPORATİF SOĞ. CİHAZI (İTHAL MOTOR);
fes-25apb-invertorlu-evaporatif-sog-cihazi-220-v;220V;FORM;FES 25APB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (220 V);
fes-25apb-invertorlu-evaporatif-sog-cihazi-kumandasiz;25APB;FORM;FES 25APB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (KUMANDASIZ);
fes-25apb-invertorlu-evaporatif-sog-cihazi-yerli-motor;25APB;FORM;FES 25APB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (YERLİ MOTOR);
fes-25apb-invertorlu-evaporatif-sog-cihazi-ithal-motor;220V;FORM;FES 25APB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (İTHAL MOTOR);
fes-25apt-evaporatif-sog-cihazi-yerli-motor;25APT;FORM;FES 25APT EVAPORATİF SOĞ. CİHAZI (YERLİ MOTOR);
fes-25apt-evaporatif-sog-cihazi-ithal-motor;220V;FORM;FES 25APT EVAPORATİF SOĞ. CİHAZI (İTHAL MOTOR);
fes-25apt-invertorlu-evaporatif-sog-cihazi-yerli-motor;25APT;FORM;FES 25APT İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (YERLİ MOTOR);
fes-25apt-invertorlu-evaporatif-sog-cihazi-ithal-motor;220V;FORM;FES 25APT İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (İTHAL MOTOR);
fes-30-ap;;FORM;FES 30 AP Evaporatif Klima;
fes-30a-motor-3-0-kw;30A;FORM;FES 30A Motor 3.0 KW YP02.20117;
fes-30a-invertor-3kw;30A;FORM;FES 30A İNVERTÖR- 3KW;
fes-30apb-evaporatif-sog-cihazi-kumandasiz;30APB;FORM;FES 30APB EVAPORATİF SOĞ. CİHAZI (KUMANDASIZ);
fes-30apb-evaporatif-sog-cihazi-yerli-motor;30APB;FORM;FES 30APB EVAPORATİF SOĞ. CİHAZI (YERLİ MOTOR);
fes-30apb-evaporatif-sog-cihazi-ithal-motor;220V;FORM;FES 30APB EVAPORATİF SOĞ. CİHAZI (İTHAL MOTOR);
fes-30apb-invertorlu-evaporatif-sog-cihazi-kumandasiz;30APB;FORM;FES 30APB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (KUMANDASIZ);
fes-30apb-invertorlu-evaporatif-sog-cihazi-yerli-motor;30APB;FORM;FES 30APB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (YERLİ MOTOR);
fes-30apb-invertorlu-evaporatif-sog-cihazi-ithal-motor;220V;FORM;FES 30APB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (İTHAL MOTOR);
fes-30apt-evaporatif-sog-cihazi-yerli-motor;30APT;FORM;FES 30APT EVAPORATİF SOĞ. CİHAZI (YERLİ MOTOR);
fes-30apt-evaporatif-sog-cihazi-ithal-motor;220V;FORM;FES 30APT EVAPORATİF SOĞ. CİHAZI (İTHAL MOTOR);
fes-30apt-invertorlu-evaporatif-sog-cihazi-yerli-motor;30APT;FORM;FES 30APT İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (YERLİ MOTOR);
fes-30apt-invertorlu-evaporatif-sog-cihazi-ithal-motor;220V;FORM;FES 30APT İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (İTHAL MOTOR);
fes-35-plug-alttan-ufleme;;FORM;FES 35 PLUG - ALTTAN ÜFLEME;
fes-35-plug-ustten-ufleme;;FORM;FES 35 PLUG - ÜSTTEN ÜFLEME;
fes-35-rc;;FORM;FES 35 RC Evaporatif Klima;
fes-35rcb-evaporatif-sog-unitesi;35RCB;FORM;FES 35RCB EVAPORATİF SOĞ.ÜNİTESİ;
fes-35rcb-invertorlu-evaporatif-sog-unitesi;35RCB;FORM;FES 35RCB İNVERTÖRLÜ EVAPORATİF SOĞ.ÜNİTESİ;
fes-35rcs-evaporatif-sog-unitesi;35RCS;FORM;FES 35RCS EVAPORATİF SOĞ.ÜNİTESİ;
fes-35rct-evaporatif-sog-unitesi;35RCT;FORM;FES 35RCT EVAPORATİF SOĞ.ÜNİTESİ;
fes-35rct-evaporatif-sog-unitesi-7-5kw;35RCT;FORM;FES 35RCT EVAPORATİF SOĞ.ÜNİTESİ (7.5kW);
fes-35rct-invertorlu-evaporatif-sog-unitesi;35RCT;FORM;FES 35RCT INVERTÖRLÜ EVAPORATİF SOĞ.ÜNİTESİ;
fes-40apb-invertorlu-evaporatif-sog-cihazi-yerli-motor;40APB;FORM;FES 40APB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (YERLİ MOTOR);
fes-40apt-evaporatif-sog-cihazi-yerli-motor;40APT;FORM;FES 40APT EVAPORATİF SOĞ. CİHAZI (YERLİ MOTOR);
fes-chill-su-sogutma-grubu-1200x1300-mm;1200x1300;FORM;FES CHILL Su Soğutma Grubu 1200x1300 mm;
fes-chill-su-sogutma-grubu-1200x1900-mm;1200x1900;FORM;FES CHILL Su Soğutma Grubu 1200x1900 mm;
fes-chill-su-sogutma-grubu-1200x2300-mm;1200x2300;FORM;FES CHILL Su Soğutma Grubu 1200x2300 mm;
fes-chill-su-sogutma-grubu-1200x2500-mm;1200x2500;FORM;FES CHILL Su Soğutma Grubu 1200x2500 mm;
fes-chill-su-sogutma-grubu-1200x700-mm;1200x700;FORM;FES CHILL Su Soğutma Grubu 1200x700 mm;
fes-chill-su-sogutma-grubu-1700x1300-mm;1700x1300;FORM;FES CHILL Su Soğutma Grubu 1700x1300 mm;
fes-chill-su-sogutma-grubu-1700x1900-mm;1700x1900;FORM;FES CHILL Su Soğutma Grubu 1700x1900 mm;
fes-chill-su-sogutma-grubu-1700x2300-mm;1700x2300;FORM;FES CHILL Su Soğutma Grubu 1700x2300 mm;
fes-chill-su-sogutma-grubu-1700x2500-mm;1700x2500;FORM;FES CHILL Su Soğutma Grubu 1700x2500 mm;
fes-chill-su-sogutma-grubu-1700x700-mm;1700x700;FORM;FES CHILL Su Soğutma Grubu 1700x700 mm;
fes-chill-su-sogutma-grubu-2200x1300-mm;2200x1300;FORM;FES CHILL Su Soğutma Grubu 2200x1300 mm;
fes-chill-su-sogutma-grubu-2200x1900-mm;2200x1900;FORM;FES CHILL Su Soğutma Grubu 2200x1900 mm;
fes-chill-su-sogutma-grubu-2200x2300-mm;2200x2300;FORM;FES CHILL Su Soğutma Grubu 2200x2300 mm;
fes-chill-su-sogutma-grubu-2200x2500-mm;2200x2500;FORM;FES CHILL Su Soğutma Grubu 2200x2500 mm;
fes-chill-su-sogutma-grubu-2200x700-mm;2200x700;FORM;FES CHILL Su Soğutma Grubu 2200x700 mm;
fes-chill-su-sogutma-grubu-2700x1300-mm;2700x1300;FORM;FES CHILL Su Soğutma Grubu 2700x1300 mm;
fes-chill-su-sogutma-grubu-2700x1900-mm;2700x1900;FORM;FES CHILL Su Soğutma Grubu 2700x1900 mm;
fes-chill-su-sogutma-grubu-2700x2300-mm;2700x2300;FORM;FES CHILL Su Soğutma Grubu 2700x2300 mm;
fes-chill-su-sogutma-grubu-2700x2500-mm;2700x2500;FORM;FES CHILL Su Soğutma Grubu 2700x2500 mm;
fes-chill-su-sogutma-grubu-2700x700-mm;2700x700;FORM;FES CHILL Su Soğutma Grubu 2700x700 mm;
fes-00a-sirkulasyon-pompasi;00A;FORM;FES Evaporatif Klima 00A Sirkülasyon Pompası;
invertor-motor-kontrol-panosu-3-7kw-380-v;YM02.11125;FORM;FES İNVERTÖR MOTOR KONTROL PANOSU 3,7KW-380V;
fes-16-20r-tul-filtre;FES-16/20R;FORM;FES-16/20R Tül Filtre YP02.10725;
fes-20rps-invertorlu-evaporatif-sog-cihazi-1;FES-20RPS;FORM;FES-20RPS İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI;
fes-16-20rc-petek-ym02-20110;FES16/20RC;FORM;FES16/20RC PETEK;
fes16-20rc-cerceveli-petek-ym02-20127;FES16/20RC;FORM;FES16/20RC ÇERÇEVELİ PETEK;
fes35rc-petek-ym02-20111;FES35RC;FORM;FES35RC PETEK;
fes35rc-cerceveli-petek-ym02-20149;FES35RC;FORM;FES35RC ÇERÇEVELİ PETEK;
feschill-kondenser-on-sogutma-unitesi;;FORM;FESCHILL Kondenser Ön Soğutma Ünitesi;
fesklima-1-0-kontrol-panosu-3-0kw-380-v;1/0;FORM;FESKLIMA 1/0 KONTROL PANOSU 3.0KW (380 V);
fes-25-30a-elk-2-2-3-0-kw-motor-ayak-sac-seti;25/30A;FORM;FESKLIMA 25/30A ELK 2.2/3.0 KW MOTOR AYAK SAC SETI;
fespack-elektronik-kart-2;YP02.10201;FORM;FESPACK ELEKTRONİK KART;
fespack-elektronik-kumanda-1;YP02.10123;FORM;FESPACK ELEKTRONİK KUMANDA;
fespack-sirkulasyon-pompasi-cp11000-p-n-1110;UL11000-2;FORM;FESPACK SIRKULASYON POMPASI UL11000-2 (P/N 1110);
fespack-samandira-visam-1-2-jet-flator;1/2;FORM;FESPACK ŞAMANDIRA VİSAM 1/2 JET FLATÖR;
fesplast-cy-25-30a-su-seviye-salteri;25/30A;FORM;FESPLAST/CY 25/30A SU SEVİYE ŞALTERİ;
fesplast-jhc-18a-uzaktan-kumanda-1;18A;FORM;FESPLAST/JHC 18A Uzaktan Kumanda;
fes-drenaj-vanasi;;FORM;FESPLAST/JHC DRENAJ VANASI;
fesplast-jhc-motor-1-1kw-220v-3p;220V/3P;FORM;FESPLAST/JHC MOTOR 1.1KW 220V/3P;
fesplast-ltn-18a-selenoid-vana;18A;FORM;FESPLAST/LTN 18A SELENOİD VANA;
fesplast-ltn-18a-su-seviye-salteri-2li-soket;18A;FORM;FESPLAST/LTN 18A SU SEVİYE ŞALTERİ (2'Lİ SOKET);
fesplast-ltn-18a-sirkulasyon-pompasi-ap5100;18A;FORM;FESPLAST/LTN 18A SİRKÜLASYON POMPASI AP5100;
form-sunviavent-havalandirma-kapaklar;;FORM;FORM - SUNVIAVENT - Havalandırma Kapaklar;
form-troke-6000-serisi-duman-ve-isi-tahliye-kapaklari;6000;FORM;FORM - Troke - 6000 serisi - Duman ve Isı Tahliye Kapakları;
form-fh-03-sudan-havaya-isi-pompasi-wshp;FH-03;FORM;FORM FH-03 Sudan Havaya Isı Pompası WSHP;
form-fh-07-sudan-havaya-isi-pompasi-wshp;FH-07;FORM;FORM FH-07 Sudan Havaya Isı Pompası WSHP;
form-fh-09-sudan-havaya-isi-pompasi-wshp;FH-09;FORM;FORM FH-09 Sudan Havaya Isı Pompası WSHP;
form-fh-22-sudan-havaya-isi-pompasi-wshp;FH-22;FORM;FORM FH-22 Sudan Havaya Isı Pompası WSHP;
form-021-2-borulu-gizli-tavan-tipi-fancoil-2-56-6-17kw;FORM-021;FORM;FORM-021 2 Borulu Gizli Tavan Tipi Fancoil 2,56/6,17kW;
form-021-4-borulu-gizli-tavan-tipi-fancoil-2-51-2-65kw;FORM-021;FORM;FORM-021 4 Borulu Gizli Tavan Tipi Fancoil 2,51/2,65kW;
form-042-2-borulu-gizli-tavan-tipi-fancoil-4-80-11-50kw;FORM-021;FORM;FORM-042 2 Borulu Gizli Tavan Tipi Fancoil 4,80/11,50kW;
form-042-4-borulu-gizli-tavan-tipi-fancoil-4-64-4-90kw;FORM-042;FORM;FORM-042 4 Borulu Gizli Tavan Tipi Fancoil 4,64/4,90kW;
form-062-2-borulu-gizli-tavan-tipi-fancoil-5-90-13-83kw;FORM-062;FORM;FORM-062 2 Borulu Gizli Tavan Tipi Fancoil 5,90/13,83kW;
form-062-4-borulu-gizli-tavan-tipi-fancoil-5-78-5-72kw;FORM-062;FORM;FORM-062 4 Borulu Gizli Tavan Tipi Fancoil 5,78/5,72kW;
form-083-2-borulu-gizli-tavan-tipi-fancoil-5-90-13-83kw;FORM-083;FORM;FORM-083 2 Borulu Gizli Tavan Tipi Fancoil 5,90/13,83kW;
form-083-4-borulu-gizli-tavan-tipi-fancoil-7-83-8-26kw;FORM-083;FORM;FORM-083 4 Borulu Gizli Tavan Tipi Fancoil 7,83/8,26kW;
form-104-2-borulu-gizli-tavan-tipi-fancoil-5-90-13-83kw;FORM-104;FORM;FORM-104 2 Borulu Gizli Tavan Tipi Fancoil 5,90/13,83kW;
form-104-4-borulu-gizli-tavan-tipi-fancoil-11-59-12-51kw;FORM-104;FORM;FORM-104 4 Borulu Gizli Tavan Tipi Fancoil 11,59/12,51kW;
fes-00a-kumanda-lcd-1-5kw-220v;00A;FORM;Fes 00A Kumanda LCD-1.5KW 220V YP02.20102;
fes-00a-kumanda-lcd-3-0kw-380v;00A;FORM;Fes 00A KumandaLCD-3.0KW 380V YP02.20103;
fes-00a-kumanda-pilli;YP02.20104;FORM;Fes Kumanda Pili YP02.20104;
fes-00a-nem-ve-sicaklik-sensoru;YP02.20105;FORM;Fes Oda nem ve Sıcaklık Sensörü YP02.20105;
fesklima-1-0-kontrol-panosu-5-5kw-380-v;1/0;FORM;Fesklima 1/0 Kontrol Panosu 5.5kW;
fesklima-1-0-kontrol-panosu-7-5kw-380-v;1/0;FORM;Fesklima 1/0 Kontrol Panosu 7.5kW (380 V);
fespack-220v-invertor-2-2kw-yp02-10130;220V;FORM;Fespack 220V. Invertor 2.2kW YP02.10130;
fespack-380v-invertor-5-5kw;380V;FORM;Fespack 380V. Invertor 5.5kW YP02.10120;
fespack-380v-invertor-4-0kw;380V;FORM;Fespack 380V. Invertör 4.0kW YP02.10119;
fespack-elektronik-kumanda-v1;18A;FORM;Fespack Elektronik Kumanda V1;
fespack-elektronik-kumanda-v2;18A;FORM;Fespack Elekttonik Kumanda V2;
fespack-jhc-samandira;YP02.20313;FORM;Fespack/JHC Şamandıra YP02.20313;
fesplast-ltn-18a-uzaktan-kumanda;18A;FORM;Fesplast /LTN 18A Uzaktan Kumanda;
fesplast-ltn-aksiyal-fan-metal;YP02.20200;FORM;Fesplast /LTN Aksiyal Fan Metal YP02.20200;
fesplast-jhc-18a-uzaktan-kumanda;18A;FORM;Fesplast/JHC 18A Uzaktan Kumanda;
fesplast-jhc-18a-invertor-yp02-20304;18A;FORM;Fesplast/JHC 18A İnvertör YP02.20304;
fesplast-ltn-18a-drenaj-vanasi;18A;FORM;Fesplast/LTN 18A Drenaj Vanası YP02.20210;
fesplast-ltn-18a-motor-1-1kw-220v;18A;FORM;Fesplast/LTN 18A Motor 1.1KW 220V YP02.20212;
fesplast-ltn-18a-invertor;18A;FORM;Fesplast/LTN 18A İnvertör YP02.20211;
dijital-termostat;YP02.10218;FORM;Form Dijital Termostat YP02.10218;
elektirik-motoru-1-5-kw-380v;1.5;FORM;Form Elektrik Motoru 1.5 kW-380V YP02.10106;
form-sudan-havaya-isi-pompasi-wshp;FH-11;FORM;Form FH-11 Sudan Havaya Isı Pompası WSHP;
form-sudan-havaya-isi-pompasi-wshp-fh-15;FH-15;FORM;Form FH-15 Sudan Havaya Isı Pompası WSHP;
gal-havalandirma-sistemleri-aerator-sistemleri;;FORM;GAL - Havalandırma Sistemleri - Aeratör Sistemleri;
gizli-tavan-tipi-fancoil-form-42-2-borulu;;FORM;Gizli Tavan Tipi Fancoil FORM 42 2 Borulu;
kumas-kure-1m-logolu-kumas-kanal;;FORM;Kumaş küre + 1m logolu kumaş kanal;
fes-25-30a-ntc10k-harici-sicaklik-sensoru-seti;YM02.20251;FORM;NTC10K Harici Sıcaklık Sensörü Seti;
ntc10k-harici-sicaklik-sensoru-1-8m-soketsiz;NTC10K;FORM;NTC10K Soketsiz Harici Sıcaklık Sensörü;
spa-100-2-kasnak;100/2;FORM;SPA 100/2 Evaporatif Kasnak;
spa-112-1-kasnak;112/1;FORM;SPA 112/1 Evaporatif Kasnak;
spa-12-5x1425-kayis-disli;12.5x1425;FORM;SPA 12.5x1425 Evaporatif Kayış Dişli;
spa-12-5x1425-kayis-disli-1;12.5x1425;FORM;SPA 12.5x1425 Form Kayış Dişli;
spa-12-5x1450-kayis-disli;12.5x1450;FORM;SPA 12.5x1450 Kayış Dişli;
spa-12-5x1475-kayis-disli;12.5x1475;FORM;SPA 12.5x1475 Kayış Dişli;
spa-12-5x1675-kayis-disli;12.5x1675;FORM;SPA 12.5x1675 Kayış Dişli;
spa-12-5x1700-kayis-disli;12.5x1700;FORM;SPA 12.5x1700 Kayış Dişli;
spa-12-5x2150-kayis-disli;12.5x2150;FORM;SPA 12.5x2150 Kayış Dişli YP02.10814;
spa-12-5x2350-kayis;12.5x2350;FORM;SPA 12.5x2350 Kayış;
spa-13x1550-duz-kayis;13x1550;FORM;SPA 13x1550 DÜZ KAYIŞ;
spa-13x1625-duz-kayis;13x1625;FORM;SPA 13x1625 Düz Kayış;
spa-13x1775-duz-kayis;13x1775;FORM;SPA 13x1775 Form Düz Kayış;
spa-13x1800-duz-kayis;13x1800;FORM;SPA 13x1800 Evaporatif Düz Kayış;
spa-13x2140-duz-kayis;13x2140;FORM;SPA 13x2140 Düz Kayış;
spa-250-1-kasnak;250/1;FORM;SPA 250/1 Form Kasnak YP02.10818;
spa-250-2-kasnak;250/2;FORM;SPA 250/2 Kasnak YP02.10819;
spa-315-1-kasnak;315/1;FORM;SPA 315/1 Form Kasnak YP02.10821;
spa-315-2-kasnak;315/2;FORM;SPA 315/2 Form Kasnak YP02.10822;
sirkulasyon-pompasi-1-5-7-0-12kw-qdn;YP02.10515;FORM;Sirkülasyon Pompası 1.5-7-0.12KW QDN YP02.10515;
sirkulasyon-pompasi-cp03-fes35r;FES35R;FORM;Sirkülasyon Pompası FES35R YP02.10512;
sunvia-sv-250;250;FORM;Sunvia Tube SV 250 Güneş Işığı Tüpü;
sunvia-sv-550;550;FORM;Sunvia Tube SV 550 Güneş Işığı Tüpü;
sunvia-sv-900;900;FORM;Sunvia Tube SV 900 Güneş Işığı Tüpü;
ub-308-ufleme-basligi-800x800-bogazli;UB-308;FORM;UB-308 ÜFLEME BAŞLIĞI-800x800 BOĞAZLI;
ub-308-ufleme-basligi-o600-bogazli;UB-308;FORM;UB-308 ÜFLEME BAŞLIĞI-Ø600 BOĞAZLI;
ub-308-ufleme-basligi-o630-bogazli;UB-308;FORM;UB-308 ÜFLEME BAŞLIĞI-Ø630 BOĞAZLI;
ub-308-ufleme-basligi-o710-bogazli;UB-308;FORM;UB-308 ÜFLEME BAŞLIĞI-Ø710 BOĞAZLI;
gmcc-pj160g1c-4dz-compressor-hermetic-rotary;PJ160G1C-4DZ;GMCC Toshiba;GMCC PJ160G1C-4DZ Compressor hermetic rotary;
gea-gbh220h-30;GBH220H-30;Gea;GEA GBH220H-30 Plakalı Eşanjör;
3328140-icin-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor;VSH175CU3C7HQ;HIGHLY;3328140 için muadili VSH175CU3C7HQ Highly 6.653 BTU 380V R-134A Gazlı Kompresör;
3328540-icin-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor;VSH175CU3C7HQ;HIGHLY;3328540 için muadili VSH175CU3C7HQ Highly 6.653 BTU 380V R-134A Gazlı Kompresör;
3329140-icin-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor;VSH175CU3C7HQ;HIGHLY;3329140 için muadili VSH175CU3C7HQ Highly 6.653 BTU 380V R-134A Gazlı Kompresör;
3329540-icin-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor;VSH175CU3C7HQ;HIGHLY;3329540 için muadili VSH175CU3C7HQ Highly 6.653 BTU 380V R-134A Gazlı Kompresör;
highly-hitachi-compressor-bsd122dt-p6au-rk5450-y-muadi;BSD122DT-P6AU–;HIGHLY;Highly Hitachi Compressor BSD122DT-P6AU– RK5450 Y Muadil;
hitachi-higly-compressor-bsa357cv-r1an;BSA357CV-R1AN;HIGHLY;Hitachi HIGLY Compressor BSA357CV-R1AN;
hitachi-highly-rotary-ac-compressor-bsa645dt-r1en;BSA645DT-R1EN;HIGHLY;Hitachi Highly Rotary AC Compressor BSA645DT-R1EN;
kompresor-hitachi-highly-ash255tv-c8du-220v-r410a;ASH255TV-C8DU;HIGHLY;Hitachi Kompresör HIGHLY ASH255TV-C8DU;
kompresor-hitachi-highly-thu33wc6-u-220v-r22;THU33WC6-U;HIGHLY;Hitachi Kompresör HIGHLY THU33WC6-U;
highly-vsd122cu-4-777-btu-1400-watt-r134a-r407c-r410a-380-415v-50hz-380-460v-60hz-rotary-kompresor-t;VSD122CU;HIGHLY;HİGHLY VSD122CU 4.777 BTU 1400 WATT R134A/R407C/R410A 380~415V 50HZ/380~460V 60HZ ROTARY KOMPRESÖR-T;
rotary-compressor-hitachi-highly-bsa357dt;BSA357DT;HIGHLY;ROTARY COMPRESSOR HITACHI HIGHLY BSA357DT;
trk-5512-y-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor;VSH175CU3C7HQ;HIGHLY;TRK 5512 Y muadili VSH175CU3C7HQ Highly 6.653 BTU 380V R-134A Gazlı Kompresör;
vsh175cu3c7hq-highly;VSH175CU3C7HQ;HIGHLY;VSH175CU3C7HQ Highly;
kompresor-hitachi-highly-shw33tc4-u-220v-r22;SHW33TC4-U;Hitachi;Hitachi Kompresör HIGHLY SHW33TC4-U;
kelvin-jet-04-330w;;KELVIN;Kelvin JET 04 330W;
kelvin-jet-05-510w;JET05;KELVIN;Kelvin JET 05 510W;
kelvin-jet-09-800w;JET09;KELVIN;Kelvin JET 09 800W;
kelvin-jet-10-1000w;JET10;KELVIN;Kelvin JET 10 1000W;
kelvin-jet-15-1520w;KelvinJET15;KELVIN;Kelvin JET 15 1520W;
kelvin-jet-20-2000w;;KELVIN;Kelvin JET 20 2000W;
kelvin-jet-20-2000w-400v;JET20;KELVIN;Kelvin JET 20 2000W 400V;
kelvin-jet-30-2800w;JET30;KELVIN;Kelvin JET 30 2800W;
kelvin-jet-40-3800w;;KELVIN;Kelvin JET 40 3800W;
kmv-03-300w;;KELVIN;Kelvin KMV 03 300W;
kelvin-kuj-09-850w;;KELVIN;Kelvin KUJ 09 850W;
kelvin-kun-10-1050w;;KELVIN;Kelvin KUN 10 1050W;
kelvin-kun-15-1360w;;KELVIN;Kelvin KUN 15 1360W;
kelvin-kun-17-1720w;;KELVIN;Kelvin KUN 17 1720W;
kelvin-kun-20-2000w;;KELVIN;Kelvin KUN 20 2000W;
kelvin-kun-30-2800w;;KELVIN;Kelvin KUN 30 2800W;
kelvin-kun-40-3800w;;KELVIN;Kelvin KUN 40 3800W;
kelvin-kur-05-500w;;KELVIN;Kelvin KUR 05 500W;
kelvin-kur-09-850w;;KELVIN;Kelvin KUR 09 850W;
kelvin-kus-10-1000w;;KELVIN;Kelvin KUS 10 1000W;
kelvin-kus-15-1450w;;KELVIN;Kelvin KUS 15 1450W;
kelvin-kus-17-1700w;KUS17;KELVIN;Kelvin KUS 17 1700W;
kelvin-kus-20-2000w;KUS20;KELVIN;Kelvin KUS 20 2000W;
sifir-urun-twa-352-vv-y-a-aircooled-liquid-chillers;352;KTK;SIFIR ÜRÜN - TWA 352 VV/Y/A AIRCOOLED LIQUID CHILLERS;
lamilux-isikli-tonoz-f100-kubbe-formlu-kapaklar;F100;Lamilux;LAMILUX Işıklı tonoz F100 Kubbe Formlu Kapaklar;
mks-clima-mkp0240th-pano-tipi-klima-240w;mkp0240th;MKS Clima;MKS Clima MKP0240TH Pano Tipi Klima 240 W (Panel Montaj);
mks-clima-mkp0340th-pano-tipi-klima-340w;mkp0340th;MKS Clima;MKS Clima MKP0340TH Pano Tipi Klima 340 W (Panel Montaj);
mks-clima-mkp0533th-pano-tipi-klima-500w;mkp0533th;MKS Clima;MKS Clima MKP0533TH Pano Tipi Klima 500 W (Panel Montaj);
mks-clima-mkp0833th-pano-tipi-klima-800w;mkp0833th;MKS Clima;MKS Clima MKP0833TH Pano Tipi Klima 800 W (Panel Montaj);
mks-clima-mkp1033th-pano-tipi-klima-1050w;mkp1033th;MKS Clima;MKS Clima MKP1033TH Pano Tipi Klima 1.050 W (Panel Montaj);
mks-clima-mkp1533th-pano-tipi-klima-1570w;mkp1533th;MKS Clima;MKS Clima MKP1533TH Pano Tipi Klima 1.570 W (Panel Montaj);
mks-clima-mkp2033th-pano-tipi-klima-2000w;mkp2033th;MKS Clima;MKS Clima MKP2033TH Pano Tipi Klima 2.000 W (Panel Montaj);
mks-clima-mkp2533ch-pano-tipi-klima-2500w;mkp2533ch;MKS Clima;MKS Clima MKP2533CH Pano Tipi Klima 2.500 W 3F (Panel Montaj);
mks-clima-mkp3033ch-pano-tipi-klima-3000w;mkp3033ch;MKS Clima;MKS Clima MKP3033CH Pano Tipi Klima 3.000 W 3F (Panel Montaj);
mks-clima-outdoor-pano-tipi-klima-yan-panel-kapi-montaj-mkp0538ty-500w-1-230-50-60;MKP0538TY;MKS Clima;MKS Clima Outdoor Pano Tipi Klima (Yan Panel / Kapı Montaj) MKP0538TY 500W 1 - 230/50-60;
https-www-klimasun-com-tr-mks-clima-pano-tipi-klima-mkp0838ty;MKP0838TY;MKS Clima;MKS Clima Outdoor Pano Tipi Klima (Yan Panel / Kapı Montaj) MKP0838TY 800W 1 - 230/50-60;
kompresor-matsushita-5js290dad01-220v-r410a;5JS290DAD01;Matsushita;Matsushita Kompresör 5JS290DAD01;
kompresor-matsushita-5js330dah01-220v-r410a;5JS330DAH01;Matsushita;Matsushita Kompresör 5JS330DAH01;
kompresor-matsushita-5ps112da301-220v-r410a;5PS112DA301;Matsushita;Matsushita Kompresör 5PS112DA301;
compresor-hoffman-nvent-model-101026113sp;TRK5512Y;McLean;Compresor Hoffman (nVent) Model 101026113SP;
nvent-pentair-hoffman-mclean-g520826g050-g52-series-air-conditioner-8000-btu-230v-50-60-hz-1-phase;G520826G050;McLean;nVent, Pentair, Hoffman, McLean G520826G050 G52-Series Air Conditioner, 8000 BTU, 230V, 50/60 Hz, 1 Phase,;
nvent-pentair-hoffman-mclean-genesis-m36-6-000-btu-230v-50-60-hz-air-conditioners;M36;McLean;nVent, Pentair, Hoffman, McLean GENESIS M36, 6,000 BTU, 230V, 50/60 HZ,Air Conditioners;
mc-quay-hsa2350-y20-yas-kompersor;Hsa2350;McQuay;Mc Quay Hsa2350 Y20 Yas Kompresör;
mcquay-main-board-pco2qeoalo;pco2qeoalo-main-board;McQuay;McQuay Main Board PCO2QEOALO;
mcquay-ye-ydk-1500-6b-fan;2.el;McQuay;McQuay YE YDK 1500-6B Fan;
mcquay-aws-300-2-st-1101kw;2.el;McQuay;McQuay-AWS-300.2-ST 1101kW 2.El;
compresor-kb122vfpc-bsd122dt-p6au-230v-50-60hz-rk5450-y-muadil;KB122VFPC;Mitsubishi;Compresor KB122VFPC BSD122DT-P6AU 230V 50/60Hz-RK5450 Y Muadil;
compresor-mitsubishi-electric-xb357vfb-220-1-60-r134a;XB357VFB;Mitsubishi;Compresor Mitsubishi Electric XB357VFB, 220/1/60, R134a,;
fespack-220v-invertor-1-5kw;220V;Mitsubishi;FESPACK 220V. INVERTOR 1.5kW;
fespack-380v-invertor-2-2kw;380V;Mitsubishi;FESPACK 380V. INVERTOR 2.2kW;
